time,accident num,accident type,holiday,percipitation,visibility,wind,wind direction,fog,rain,sun rise,sun set
20:00 19/01/2011,0,NONE,0,0,10,5.75,260,0,0,0,0
00:00 20/01/2011,0,NONE,0,0,8,3.44,250,0,0,0,0
04:00 20/01/2011,0,NONE,0,0,5,0,0,1,0,1,0
08:00 20/01/2011,1,A1,0,0.001,8,8.05,120,0,0,0,0
12:00 20/01/2011,0,NONE,0,0,10,11.5,140,0,0,0,0
16:00 20/01/2011,1,A1,0,0,10,10.36,170,0,1,0,1
20:00 20/01/2011,0,NONE,0,0.001,6,6.91,190,1,0,0,0
00:00 21/01/2011,1,A1,0,0,8,5.75,190,0,0,0,0
04:00 21/01/2011,0,NONE,0,0,8,5.75,210,0,0,1,0
08:00 21/01/2011,0,NONE,0,0,0.5,14.97,210,1,1,0,0
12:00 21/01/2011,1,A1,0,0.08,1.75,25.32,230,0,1,0,0
16:00 21/01/2011,0,NONE,0,0,10,16.11,260,0,1,0,1
20:00 21/01/2011,0,NONE,0,0,10,8.05,270,0,0,0,0
00:00 22/01/2011,0,NONE,0,0,7,6.91,260,0,0,0,0
04:00 22/01/2011,0,NONE,0,0,1.5,10.36,260,1,0,1,0
08:00 22/01/2011,0,NONE,0,0,1.5,12.66,290,1,1,0,0
12:00 22/01/2011,0,NONE,0,0,10,17.27,320,0,0,0,0
16:00 22/01/2011,0,NONE,0,0,10,17.27,320,0,0,0,1
20:00 22/01/2011,0,NONE,0,0,10,10.36,320,0,0,0,0
00:00 23/01/2011,0,NONE,0,0,10,9.22,320,0,0,0,0
04:00 23/01/2011,1,A1,0,0,10,9.22,330,0,0,1,0
08:00 23/01/2011,0,NONE,0,0,10,13.8,340,0,0,0,0
12:00 23/01/2011,0,NONE,0,0,10,12.66,40,0,0,0,0
16:00 23/01/2011,0,NONE,0,0,10,10.36,80,0,0,0,1
20:00 23/01/2011,0,NONE,0,0,10,8.05,90,0,0,0,0
00:00 24/01/2011,0,NONE,0,0,10,13.8,90,0,0,0,0
04:00 24/01/2011,0,NONE,0,0,10,8.05,150,0,0,1,0
08:00 24/01/2011,0,NONE,0,0,10,13.8,130,0,0,0,0
12:00 24/01/2011,0,NONE,0,0,10,17.27,130,0,0,0,0
16:00 24/01/2011,1,A1,0,0,10,17.27,110,0,0,0,1
20:00 24/01/2011,0,NONE,0,0,10,19.57,120,0,0,0,0
00:00 25/01/2011,0,NONE,0,0,10,19.57,120,0,0,0,0
04:00 25/01/2011,0,NONE,0,0,10,18.41,130,0,0,1,0
08:00 25/01/2011,0,NONE,0,0,10,21.85,140,0,0,0,0
12:00 25/01/2011,0,NONE,0,0,10,17.27,150,0,0,0,0
16:00 25/01/2011,0,NONE,0,0,10,17.27,170,0,0,0,1
20:00 25/01/2011,0,NONE,0,0.001,1.25,19.57,330,1,3,0,0
00:00 26/01/2011,0,NONE,0,0,10,8.05,30,0,0,0,0
04:00 26/01/2011,0,NONE,0,0,10,8.05,200,0,0,1,0
08:00 26/01/2011,0,NONE,0,0,10,14.97,260,0,0,0,0
12:00 26/01/2011,0,NONE,0,0,10,17.27,270,0,0,0,0
16:00 26/01/2011,0,NONE,0,0,10,11.5,330,0,0,0,1
20:00 26/01/2011,0,NONE,0,0,10,9.22,330,0,0,0,0
00:00 27/01/2011,0,NONE,0,0,10,10.36,330,0,0,0,0
04:00 27/01/2011,0,NONE,0,0,10,8.05,340,0,0,1,0
08:00 27/01/2011,0,NONE,0,0,10,9.22,330,0,0,0,0
12:00 27/01/2011,0,NONE,0,0,10,5.75,70,0,0,0,0
16:00 27/01/2011,0,NONE,0,0,10,11.5,320,0,0,0,1
20:00 27/01/2011,0,NONE,0,0,10,10.36,310,0,0,0,0
00:00 28/01/2011,0,NONE,0,0,10,11.5,320,0,0,0,0
04:00 28/01/2011,0,NONE,0,0,10,10.36,320,0,0,1,0
08:00 28/01/2011,0,NONE,0,0,10,14.97,340,0,0,0,0
12:00 28/01/2011,0,NONE,0,0,10,11.5,320,0,0,0,0
16:00 28/01/2011,0,NONE,0,0,10,8.05,320,0,0,0,1
20:00 28/01/2011,0,NONE,0,0,10,8.05,310,0,0,0,0
00:00 29/01/2011,0,NONE,0,0,10,5.75,320,0,0,0,0
04:00 29/01/2011,1,A1,0,0,10,3.44,320,0,0,1,0
08:00 29/01/2011,0,NONE,0,0,10,11.5,350,0,0,0,0
12:00 29/01/2011,0,NONE,0,0,10,8.05,70,0,0,0,0
16:00 29/01/2011,0,NONE,0,0,10,6.91,140,0,0,0,1
20:00 29/01/2011,0,NONE,0,0,10,4.61,250,0,0,0,0
00:00 30/01/2011,0,NONE,0,0,10,4.61,300,0,0,0,0
04:00 30/01/2011,0,NONE,0,0,10,5.75,310,0,0,1,0
08:00 30/01/2011,0,NONE,0,0,10,8.05,60,0,0,0,0
12:00 30/01/2011,0,NONE,0,0,10,9.22,50,0,0,0,0
16:00 30/01/2011,0,NONE,0,0,10,6.91,80,0,0,0,1
20:00 30/01/2011,0,NONE,0,0,10,5.75,100,0,0,0,0
00:00 31/01/2011,0,NONE,0,0,10,6.91,140,0,0,0,0
04:00 31/01/2011,0,NONE,0,0,10,4.61,330,0,0,1,0
08:00 31/01/2011,0,NONE,0,0,10,13.8,140,0,0,0,0
12:00 31/01/2011,0,NONE,0,0,10,11.5,130,0,0,0,0
16:00 31/01/2011,1,A1,0,0,10,12.66,130,0,0,0,1
20:00 31/01/2011,0,NONE,0,0,10,8.05,120,0,0,0,0
1/2/2011 0:00,0,NONE,0,0,10,9.22,130,0,0,0,0
1/2/2011 4:00,0,NONE,0,0,10,11.5,140,0,0,1,0
1/2/2011 8:00,0,NONE,0,0,10,13.8,150,0,0,0,0
1/2/2011 12:00,0,NONE,0,0,10,17.27,140,0,0,0,0
1/2/2011 16:00,0,NONE,0,0,10,12.66,150,0,0,0,1
1/2/2011 20:00,0,NONE,0,0,10,8.05,150,0,0,0,0
2/2/2011 0:00,0,NONE,0,0,10,6.91,150,0,0,0,0
2/2/2011 4:00,0,NONE,0,0,10,5.75,170,0,0,1,0
2/2/2011 8:00,0,NONE,0,0,10,9.22,170,0,0,0,0
2/2/2011 12:00,1,A1,0,0,10,12.66,140,0,0,0,0
2/2/2011 16:00,0,NONE,0,0,10,8.05,160,0,0,0,1
2/2/2011 20:00,0,NONE,0,0,10,6.91,140,0,0,0,0
3/2/2011 0:00,0,NONE,0,0,8,3.44,330,0,0,0,0
3/2/2011 4:00,0,NONE,0,0,6,4.61,340,1,0,1,0
3/2/2011 8:00,0,NONE,0,0,9,11.5,130,0,0,0,0
3/2/2011 12:00,0,NONE,0,0,10,12.66,130,0,0,0,0
3/2/2011 16:00,0,NONE,0,0,10,10.36,140,0,0,0,1
3/2/2011 20:00,0,NONE,0,0,10,9.22,130,0,0,0,0
4/2/2011 0:00,0,NONE,0,0,10,10.36,140,0,0,0,0
4/2/2011 4:00,0,NONE,0,0,10,10.36,140,0,0,1,0
4/2/2011 8:00,0,NONE,0,0,10,16.11,160,0,0,0,0
4/2/2011 12:00,0,NONE,0,0,10,13.8,140,0,0,0,0
4/2/2011 16:00,0,NONE,0,0,10,10.36,140,0,0,0,1
4/2/2011 20:00,0,NONE,0,0,10,5.75,150,0,0,0,0
5/2/2011 0:00,1,A1,0,0,10,5.75,170,0,0,0,0
5/2/2011 4:00,0,NONE,0,0,10,6.91,160,0,0,1,0
5/2/2011 8:00,0,NONE,0,0,10,14.97,170,0,0,0,0
5/2/2011 12:00,0,NONE,0,0,10,14.97,160,0,0,0,0
5/2/2011 16:00,0,NONE,0,0,10,13.8,170,0,0,0,1
5/2/2011 20:00,0,NONE,0,0,10,5.75,220,0,0,0,0
6/2/2011 0:00,0,NONE,1,0,10,0,0,0,0,0,0
6/2/2011 4:00,0,NONE,1,0,10,3.44,180,0,0,1,0
6/2/2011 8:00,0,NONE,1,0,10,8.05,190,0,0,0,0
6/2/2011 12:00,0,NONE,1,0,10,12.66,140,0,0,0,0
6/2/2011 16:00,0,NONE,1,0,10,10.36,140,0,0,0,1
6/2/2011 20:00,0,NONE,1,0,10,8.05,140,0,0,0,0
7/2/2011 0:00,0,NONE,0,0,10,4.61,140,0,0,0,0
7/2/2011 4:00,1,A1,0,0,9,4.61,190,0,0,1,0
7/2/2011 8:00,0,NONE,0,0,10,17.27,190,0,0,0,0
7/2/2011 12:00,1,A1,0,0,10,19.57,180,0,0,0,0
7/2/2011 16:00,2,A1,0,0,10,14.97,240,0,0,0,1
7/2/2011 20:00,0,NONE,0,0,10,11.5,260,0,0,0,0
8/2/2011 0:00,0,NONE,0,0,10,11.5,320,0,0,0,0
8/2/2011 4:00,0,NONE,0,0,10,10.36,330,0,0,1,0
8/2/2011 8:00,0,NONE,0,0,10,11.5,340,0,0,0,0
8/2/2011 12:00,0,NONE,0,0,10,11.5,290,0,0,0,0
8/2/2011 16:00,0,NONE,0,0,10,9.22,280,0,0,0,1
8/2/2011 20:00,0,NONE,0,0,10,6.91,350,0,0,0,0
9/2/2011 0:00,0,NONE,0,0,10,5.75,350,0,0,0,0
9/2/2011 4:00,0,NONE,0,0,10,12.66,100,0,0,1,0
9/2/2011 8:00,0,NONE,0,0,10,16.11,90,0,0,0,0
9/2/2011 12:00,0,NONE,0,0,10,11.5,140,0,0,0,0
9/2/2011 16:00,0,NONE,0,0,10,8.05,120,0,0,0,1
9/2/2011 20:00,0,NONE,0,0,10,4.61,150,0,0,0,0
10/2/2011 0:00,0,NONE,0,0,9,3.44,160,0,0,0,0
10/2/2011 4:00,0,NONE,0,0,6,3.44,180,1,0,1,0
