time/date,accident type,holiday,percipitation,visibility,wind,fog,rain,sun rise,sun set,weekend,workday,t0,t1,t2,t3,actual,predicted,result
5/3/2013 0:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0105097,0
5/3/2013 2:00,0.0,0.0,0.0,1.0,0.0934274850625,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0106701,0
5/3/2013 4:00,0.0,0.0,0.0,1.0,0.0934274850625,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0106701,0
5/3/2013 6:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.00279255,0
5/3/2013 8:00,0.0,0.0,0.0,1.0,0.156165127648,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.0157432,0
5/3/2013 10:00,1.0,0.0,0.0,1.0,0.25040738729,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.07406,2
5/3/2013 12:00,0.0,0.0,0.0,1.0,0.343834872352,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.00189435,0
5/3/2013 14:00,0.0,0.0,0.0,1.0,0.406572514938,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.00296171,0
5/3/2013 16:00,1.0,0.0,0.0,1.0,0.312330255296,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.1049,2
5/3/2013 18:00,0.0,0.0,0.0,0.9,0.156165127648,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0233206,0
5/3/2013 20:00,0.0,0.0,0.0,1.0,0.187669744704,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.00799057,0
5/3/2013 22:00,0.0,0.0,0.0,1.0,0.156165127648,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0107172,0
